id,property_type,room_type,price,accommodates,bathrooms,bedrooms,host_is_superhost,longitude,latitude,number_of_reviews,availability_365,review_scores_rating,minimum_nights,listing_url,region,price_per_person
207054,Guest suite,Entire home/apt,124.0,6,1.0,2.0,t,-97.7313,30.24594,135,175,98.0,2,https://www.airbnb.com/rooms/207054,East,20.666666666666668
208897,House,Entire home/apt,184.0,9,1.0,3.0,t,-97.70097,30.2635,83,53,99.0,2,https://www.airbnb.com/rooms/208897,East,20.444444444444443
214795,Condominium,Entire home/apt,99.0,2,1.0,1.0,t,-97.77369,30.25341,790,0,99.0,2,https://www.airbnb.com/rooms/214795,South,49.5
217637,Apartment,Entire home/apt,79.0,2,1.0,1.0,t,-97.71844,30.28913,127,0,99.0,2,https://www.airbnb.com/rooms/217637,East,39.5
219168,Apartment,Entire home/apt,250.0,2,1.0,1.0,f,-97.74531,30.24503,180,0,100.0,2,https://www.airbnb.com/rooms/219168,South,125.0
221451,Apartment,Entire home/apt,145.0,2,1.0,1.0,f,-97.77306,30.25321,20,144,93.0,1,https://www.airbnb.com/rooms/221451,South,72.5
224603,Guesthouse,Entire home/apt,105.0,2,1.0,1.0,f,-97.72679000000001,30.307879999999997,104,102,99.0,30,https://www.airbnb.com/rooms/224603,Central,52.5
227372,Loft,Entire home/apt,295.0,4,2.5,2.0,t,-97.75076999999999,30.248459999999998,163,62,98.0,1,https://www.airbnb.com/rooms/227372,South,73.75
228217,House,Entire home/apt,350.0,7,2.5,3.0,f,-97.68722,30.458309999999997,0,365,95.97287683414851,4,https://www.airbnb.com/rooms/228217,North,50.0
230976,House,Private room,79.0,3,1.0,1.0,t,-97.96974,30.1703,83,353,99.0,1,https://www.airbnb.com/rooms/230976,South,26.333333333333332
233930,House,Entire home/apt,159.0,4,1.0,2.0,t,-97.73123000000001,30.302709999999998,72,334,99.0,5,https://www.airbnb.com/rooms/233930,Central,39.75
234194,House,Private room,55.0,2,1.0,1.0,t,-97.973,30.17278,46,346,97.0,1,https://www.airbnb.com/rooms/234194,South,27.5
237705,House,Entire home/apt,450.0,8,2.0,3.0,f,-97.72565999999999,30.25409,51,3,95.0,1,https://www.airbnb.com/rooms/237705,East,56.25
238657,House,Entire home/apt,150.0,6,1.0,2.0,t,-97.7567,30.25368,99,232,99.0,2,https://www.airbnb.com/rooms/238657,South,25.0
240541,Guesthouse,Entire home/apt,81.0,2,1.0,1.0,f,-97.72431,30.25426,398,58,91.0,1,https://www.airbnb.com/rooms/240541,East,40.5
244785,Guesthouse,Entire home/apt,90.0,4,1.0,1.0,t,-97.71564000000001,30.27917,624,8,98.0,1,https://www.airbnb.com/rooms/244785,East,22.5
247770,House,Entire home/apt,175.0,5,1.0,3.0,f,-97.68496,30.3034,1,0,80.0,2,https://www.airbnb.com/rooms/247770,East,35.0
248515,House,Entire home/apt,375.0,4,1.0,2.0,t,-97.72825,30.254340000000003,49,59,99.0,2,https://www.airbnb.com/rooms/248515,East,93.75
271052,Apartment,Entire home/apt,350.0,4,2.0,2.0,f,-97.77375,30.253090000000004,60,0,99.0,3,https://www.airbnb.com/rooms/271052,South,87.5
277028,House,Entire home/apt,399.0,16,3.0,6.0,t,-97.76417,30.282809999999998,56,346,94.0,2,https://www.airbnb.com/rooms/277028,Central,24.9375
282342,Apartment,Entire home/apt,69.0,3,2.5,3.0,t,-97.7078,30.36774,20,176,97.0,45,https://www.airbnb.com/rooms/282342,North,23.0
286029,Townhouse,Entire home/apt,226.0,6,1.0,2.0,t,-97.75981,30.258640000000003,165,151,96.0,1,https://www.airbnb.com/rooms/286029,South,37.666666666666664
294708,Townhouse,Entire home/apt,154.0,7,3.0,4.0,t,-97.74579,30.232229999999998,238,315,96.0,2,https://www.airbnb.com/rooms/294708,South,22.0
295275,House,Entire home/apt,210.0,8,2.0,3.0,t,-97.78975,30.188440000000003,52,274,98.0,30,https://www.airbnb.com/rooms/295275,South,26.25
299282,House,Private room,195.0,1,1.0,1.0,t,-97.73181,30.309440000000002,37,73,99.0,30,https://www.airbnb.com/rooms/299282,Central,195.0
300574,Guesthouse,Entire home/apt,130.0,4,1.0,1.0,t,-97.75563000000001,30.257209999999997,329,350,97.0,2,https://www.airbnb.com/rooms/300574,South,32.5
304808,House,Private room,67.0,2,1.0,1.0,t,-97.72691999999999,30.27448,254,341,97.0,2,https://www.airbnb.com/rooms/304808,East,33.5
304866,Guesthouse,Entire home/apt,65.0,4,1.0,1.0,t,-97.76969,30.20948,109,360,95.0,3,https://www.airbnb.com/rooms/304866,South,16.25
305392,House,Entire home/apt,525.0,10,3.0,4.0,t,-97.73289,30.25518,9,0,100.0,4,https://www.airbnb.com/rooms/305392,East,52.5
313400,House,Entire home/apt,995.0,12,4.0,5.0,f,-97.76885,30.253040000000002,11,361,97.0,3,https://www.airbnb.com/rooms/313400,South,82.91666666666667
314152,Apartment,Entire home/apt,350.0,4,1.0,2.0,f,-97.79621,30.356720000000003,0,0,95.97287683414851,4,https://www.airbnb.com/rooms/314152,West,87.5
315239,House,Entire home/apt,600.0,6,2.0,3.0,f,-97.7809,30.2135,2,365,100.0,3,https://www.airbnb.com/rooms/315239,South,100.0
316630,House,Entire home/apt,400.0,4,1.0,2.0,f,-97.75578,30.254309999999997,9,0,98.0,3,https://www.airbnb.com/rooms/316630,South,100.0
317148,House,Entire home/apt,250.0,6,1.0,2.0,f,-97.70976,30.267640000000004,38,97,92.0,2,https://www.airbnb.com/rooms/317148,East,41.666666666666664
319759,Townhouse,Entire home/apt,350.0,16,3.5,3.0,t,-97.73328000000001,30.26585,225,300,98.0,1,https://www.airbnb.com/rooms/319759,East,21.875
319887,House,Entire home/apt,650.0,5,1.0,2.0,f,-97.72855,30.255359999999996,2,0,90.0,4,https://www.airbnb.com/rooms/319887,East,130.0
319894,House,Entire home/apt,230.0,8,2.5,3.0,t,-97.64927,30.284129999999998,61,217,96.0,2,https://www.airbnb.com/rooms/319894,East,28.75
321069,House,Entire home/apt,750.0,6,2.0,3.0,f,-97.77818,30.254070000000002,1,7,95.97287683414851,3,https://www.airbnb.com/rooms/321069,South,125.0
321636,Guesthouse,Entire home/apt,95.0,3,1.0,1.0,t,-97.71919,30.277520000000003,429,168,97.0,1,https://www.airbnb.com/rooms/321636,East,31.666666666666668
321675,House,Entire home/apt,500.0,8,2.0,3.0,f,-97.78843,30.2509,13,0,100.0,1,https://www.airbnb.com/rooms/321675,South,62.5
322834,House,Entire home/apt,240.0,8,2.0,3.0,f,-97.71708000000001,30.26833,47,5,96.0,4,https://www.airbnb.com/rooms/322834,East,30.0
323733,Condominium,Entire home/apt,149.0,6,1.0,2.0,f,-97.74563,30.26778,380,0,97.0,1,https://www.airbnb.com/rooms/323733,Central,24.833333333333332
324480,Apartment,Entire home/apt,80.0,2,1.0,1.0,f,-97.73687,30.300440000000002,0,263,95.97287683414851,30,https://www.airbnb.com/rooms/324480,Central,40.0
325889,House,Entire home/apt,749.0,10,2.0,5.0,t,-97.75471999999999,30.245829999999998,29,350,98.0,3,https://www.airbnb.com/rooms/325889,South,74.9
329172,House,Entire home/apt,495.0,6,2.0,3.0,f,-97.80719,30.3024,6,363,100.0,3,https://www.airbnb.com/rooms/329172,West,82.5
329306,House,Private room,75.0,2,1.0,1.0,t,-97.72514,30.27235,460,351,97.0,2,https://www.airbnb.com/rooms/329306,East,37.5
330301,House,Private room,111.0,6,1.5,2.0,f,-97.76467,30.45096,15,365,99.0,2,https://www.airbnb.com/rooms/330301,North,18.5
331549,Other,Private room,100.0,2,1.0,1.0,f,-97.58625,30.239109999999997,0,365,95.97287683414851,2,https://www.airbnb.com/rooms/331549,East,50.0
333114,House,Private room,109.0,4,2.0,1.0,f,-97.65554,30.36875,0,0,95.97287683414851,1,https://www.airbnb.com/rooms/333114,East,27.25
333442,House,Entire home/apt,450.0,10,3.0,5.0,t,-97.76659000000001,30.312929999999998,116,272,96.0,3,https://www.airbnb.com/rooms/333442,Central,45.0
333815,House,Private room,99.0,2,2.5,1.0,t,-97.7523,30.25333,156,310,98.0,1,https://www.airbnb.com/rooms/333815,South,49.5
333856,House,Private room,99.0,2,2.5,1.0,t,-97.75301,30.253040000000002,116,303,98.0,1,https://www.airbnb.com/rooms/333856,South,49.5
333857,House,Private room,65.0,2,1.0,1.0,t,-97.72995,30.27508,140,80,96.0,1,https://www.airbnb.com/rooms/333857,East,32.5
334616,Condominium,Entire home/apt,250.0,4,1.0,2.0,f,-97.72442,30.24468,2,0,100.0,1,https://www.airbnb.com/rooms/334616,East,62.5
335885,House,Entire home/apt,750.0,16,2.0,4.0,t,-97.85576999999999,30.20621,25,307,96.0,2,https://www.airbnb.com/rooms/335885,South,46.875
337125,House,Private room,80.0,2,1.0,1.0,f,-97.76717,30.421979999999998,33,83,96.0,32,https://www.airbnb.com/rooms/337125,North,40.0
337149,House,Entire home/apt,200.0,8,1.5,3.0,t,-97.72595,30.256,180,146,98.0,2,https://www.airbnb.com/rooms/337149,East,25.0
338117,Condominium,Private room,67.0,2,1.0,1.0,t,-97.71887,30.273740000000004,69,300,98.0,2,https://www.airbnb.com/rooms/338117,East,33.5
340045,Loft,Entire home/apt,400.0,3,1.5,1.0,f,-97.79196999999999,30.261,0,365,95.97287683414851,4,https://www.airbnb.com/rooms/340045,West,133.33333333333334
340630,House,Entire home/apt,50.0,2,1.0,2.0,t,-97.72586,30.33108,14,48,95.0,30,https://www.airbnb.com/rooms/340630,Central,25.0
340710,Apartment,Entire home/apt,300.0,2,1.0,1.0,f,-97.87295999999999,30.252640000000003,0,365,95.97287683414851,3,https://www.airbnb.com/rooms/340710,West,150.0
341382,House,Entire home/apt,750.0,10,2.0,4.0,f,-97.71495999999999,30.26496,125,0,94.0,4,https://www.airbnb.com/rooms/341382,East,75.0
341596,House,Private room,120.0,3,1.0,2.0,t,-97.75855,30.24754,68,292,100.0,2,https://www.airbnb.com/rooms/341596,South,40.0
341665,House,Entire home/apt,240.0,9,2.0,3.0,f,-97.77531,30.20962,80,0,99.0,2,https://www.airbnb.com/rooms/341665,South,26.666666666666668
342039,House,Entire home/apt,120.0,4,1.0,1.0,t,-97.73104000000001,30.25185,283,324,98.0,2,https://www.airbnb.com/rooms/342039,East,30.0
342243,House,Private room,34.0,1,1.0,1.0,f,-97.7544,30.416990000000002,3,277,100.0,31,https://www.airbnb.com/rooms/342243,North,34.0
342919,House,Entire home/apt,400.0,3,1.0,2.0,f,-97.72019,30.2582,0,0,95.97287683414851,3,https://www.airbnb.com/rooms/342919,East,133.33333333333334
343462,House,Entire home/apt,79.0,4,1.0,1.0,t,-97.68767,30.26912,243,362,98.0,1,https://www.airbnb.com/rooms/343462,East,19.75
343889,Apartment,Entire home/apt,35.0,2,1.0,1.0,f,-97.72249000000001,30.274520000000003,19,248,99.0,30,https://www.airbnb.com/rooms/343889,East,17.5
344976,House,Entire home/apt,370.0,4,2.0,2.0,f,-97.75721999999999,30.25035,36,361,98.0,3,https://www.airbnb.com/rooms/344976,South,92.5
345221,Apartment,Entire home/apt,299.0,6,1.0,2.0,t,-97.74933,30.27105,8,86,88.0,3,https://www.airbnb.com/rooms/345221,Central,49.833333333333336
345473,House,Entire home/apt,295.0,6,2.0,3.0,t,-97.74739,30.24547,61,294,100.0,2,https://www.airbnb.com/rooms/345473,South,49.166666666666664
345536,Bungalow,Entire home/apt,165.0,6,1.0,2.0,t,-97.76186,30.248359999999998,193,340,98.0,2,https://www.airbnb.com/rooms/345536,South,27.5
346381,House,Entire home/apt,750.0,6,3.0,4.0,f,-97.72125,30.254620000000003,8,365,98.0,2,https://www.airbnb.com/rooms/346381,East,125.0
347572,House,Entire home/apt,125.0,4,1.0,2.0,t,-97.71649000000001,30.264870000000002,29,9,98.0,2,https://www.airbnb.com/rooms/347572,East,31.25
347654,House,Entire home/apt,430.0,8,2.5,3.0,t,-97.74439,30.236179999999997,36,171,100.0,1,https://www.airbnb.com/rooms/347654,South,53.75
347847,House,Entire home/apt,125.0,6,1.5,2.0,f,-97.73093,30.269920000000003,65,3,97.0,2,https://www.airbnb.com/rooms/347847,East,20.833333333333332
