,room_type,price,accommodates,bathrooms,bedrooms,host_is_superhost,number_of_reviews,review_scores_rating,minimum_nights,price_per_person,region
333,Entire home/apt,299.0,8,2.0,4.0,t,127,99.0,30,37.375,North
334,Entire home/apt,79.0,2,1.0,1.0,t,334,95.0,2,39.5,Central
335,Entire home/apt,70.0,2,1.0,1.0,t,25,98.0,30,35.0,Central
336,Entire home/apt,385.0,4,1.0,1.0,f,0,96.09516770892553,2,96.25,West
337,Entire home/apt,200.0,2,1.0,1.0,f,0,96.09516770892553,90,100.0,Central
338,Entire home/apt,745.0,10,3.0,4.0,t,130,98.0,2,74.5,Central
339,Entire home/apt,1999.0,10,4.0,4.0,f,1,100.0,3,199.9,Central
340,Private room,99.0,3,1.0,1.0,f,0,96.09516770892553,1,33.0,South
341,Entire home/apt,235.0,9,1.0,2.0,t,134,100.0,1,26.11111111111111,North
342,Entire home/apt,185.0,5,1.5,2.0,f,7,97.0,4,37.0,East
343,Private room,100.0,2,1.0,1.0,f,7,100.0,1,50.0,South
344,Entire home/apt,400.0,6,2.0,3.0,t,17,90.0,1,66.66666666666667,East
345,Entire home/apt,350.0,4,1.5,3.0,f,1,100.0,3,87.5,Central
346,Entire home/apt,475.0,6,2.0,4.0,f,0,96.09516770892553,3,79.16666666666667,North
347,Entire home/apt,795.0,12,3.0,4.0,t,59,98.0,2,66.25,Central
348,Entire home/apt,100.0,6,2.0,2.0,f,85,97.0,3,16.666666666666668,South
349,Entire home/apt,195.0,6,2.0,2.0,f,159,91.0,1,32.5,Central
350,Entire home/apt,125.0,8,1.0,2.0,t,348,95.0,30,15.625,Central
351,Private room,60.0,2,1.0,1.0,f,20,89.0,2,30.0,East
352,Entire home/apt,85.0,2,1.0,1.0,f,119,97.0,2,42.5,East
353,Private room,500.0,2,1.0,1.0,f,0,96.09516770892553,1,250.0,Central
354,Private room,60.0,1,1.5,1.0,f,1,100.0,1,60.0,East
355,Private room,125.0,2,2.5,1.0,f,0,96.09516770892553,1,62.5,East
356,Entire home/apt,120.0,5,1.0,0.0,f,113,99.0,2,24.0,Central
357,Entire home/apt,338.0,6,1.0,3.0,f,7,91.0,1,56.333333333333336,Central
358,Entire home/apt,97.0,2,1.0,1.0,t,48,98.0,5,48.5,North
359,Entire home/apt,975.0,10,2.0,7.0,t,60,95.0,3,97.5,Central
360,Entire home/apt,1100.0,5,3.5,4.0,f,4,100.0,4,220.0,North
361,Private room,58.0,2,1.0,1.0,t,175,98.0,2,29.0,Central
362,Private room,58.0,2,1.0,1.0,f,33,99.0,2,29.0,Central
363,Entire home/apt,179.0,10,2.5,5.0,f,23,94.0,3,17.9,North
364,Private room,199.0,2,1.5,1.0,f,80,98.0,3,99.5,East
365,Entire home/apt,145.0,5,1.0,2.0,t,177,99.0,2,29.0,Central
366,Entire home/apt,150.0,4,1.0,2.0,t,70,99.0,2,37.5,Central
367,Entire home/apt,100.0,3,1.5,2.0,f,4,100.0,30,33.333333333333336,Central
368,Entire home/apt,395.0,10,2.5,4.0,f,140,88.0,1,39.5,Central
369,Entire home/apt,100.0,3,1.0,1.0,f,61,99.0,2,33.333333333333336,Central
370,Entire home/apt,85.0,4,1.0,1.0,f,4,100.0,30,21.25,North
371,Entire home/apt,375.0,5,1.0,2.0,f,6,93.0,2,75.0,Central
372,Entire home/apt,500.0,6,1.5,2.0,f,3,100.0,2,83.33333333333333,Central
373,Private room,32.0,1,1.0,1.0,t,9,100.0,30,32.0,Central
374,Private room,49.0,2,1.0,1.0,t,168,99.0,2,24.5,North
375,Private room,75.0,2,1.0,1.0,t,297,97.0,2,37.5,Central
376,Entire home/apt,149.0,2,1.0,1.0,f,14,100.0,2,74.5,Central
377,Entire home/apt,138.0,4,1.0,1.0,t,156,99.0,1,34.5,Central
378,Entire home/apt,1800.0,8,3.0,4.0,t,3,100.0,3,225.0,Central
379,Entire home/apt,495.0,6,2.0,3.0,f,6,100.0,2,82.5,Central
380,Entire home/apt,119.0,4,1.0,1.0,t,142,99.0,2,29.75,Central
381,Entire home/apt,249.0,8,2.0,4.0,f,42,96.0,3,31.125,Central
382,Entire home/apt,40.0,2,1.0,1.0,f,48,95.0,30,20.0,Central
383,Entire home/apt,350.0,3,1.0,1.0,f,1,96.09516770892553,1,116.66666666666667,East
384,Entire home/apt,600.0,10,3.0,4.0,f,6,100.0,3,60.0,Central
385,Entire home/apt,650.0,16,3.0,5.0,f,183,96.0,1,40.625,Central
386,Entire home/apt,179.0,6,1.5,3.0,t,181,96.0,3,29.833333333333332,Central
387,Entire home/apt,495.0,10,4.0,5.0,f,9,94.0,3,49.5,Central
388,Entire home/apt,110.0,3,1.0,1.0,f,37,96.0,2,36.666666666666664,Central
389,Private room,375.0,2,1.0,1.0,f,0,96.09516770892553,1,187.5,Central
390,Entire home/apt,155.0,5,1.0,2.0,t,310,98.0,2,31.0,Central
391,Entire home/apt,135.0,5,2.0,2.0,f,109,90.0,1,27.0,Central
392,Entire home/apt,300.0,4,1.0,1.0,t,11,100.0,2,75.0,Central
393,Entire home/apt,350.0,4,2.5,2.0,f,0,96.09516770892553,5,87.5,Central
394,Entire home/apt,70.0,4,1.0,1.0,t,57,99.0,2,17.5,North
395,Entire home/apt,349.0,8,2.0,3.0,f,216,96.0,1,43.625,Central
396,Entire home/apt,120.0,2,1.0,0.0,t,4,100.0,30,60.0,Central
397,Entire home/apt,139.0,7,1.0,3.0,t,229,90.0,2,19.857142857142858,Central
398,Entire home/apt,480.0,6,2.0,2.0,f,0,96.09516770892553,2,80.0,North
399,Private room,150.0,2,1.0,1.0,f,0,96.09516770892553,1,75.0,East
400,Entire home/apt,135.0,4,1.0,1.0,t,102,99.0,3,33.75,North
401,Private room,225.0,4,2.0,1.0,f,0,96.09516770892553,5,56.25,East
402,Entire home/apt,799.0,8,2.5,4.0,f,13,100.0,3,99.875,Central
403,Entire home/apt,400.0,4,2.0,2.0,f,0,96.09516770892553,1,100.0,East
405,Entire home/apt,855.0,8,2.0,4.0,f,4,90.0,3,106.875,East
406,Private room,62.0,2,1.0,1.0,t,32,97.0,30,31.0,Central
407,Entire home/apt,800.0,2,0.5,2.0,f,0,96.09516770892553,5,400.0,Central
408,Entire home/apt,250.0,4,0.0,2.0,f,21,99.0,4,62.5,Central
409,Private room,70.0,2,1.5,1.0,f,7,100.0,2,35.0,Central
410,Entire home/apt,300.0,2,1.0,1.0,f,6,97.0,2,150.0,Central
411,Entire home/apt,265.0,3,1.0,1.0,f,48,99.0,2,88.33333333333333,Central
412,Entire home/apt,350.0,4,1.5,2.0,f,6,97.0,30,87.5,Central
413,Entire home/apt,155.0,3,1.0,1.0,t,105,98.0,2,51.666666666666664,North
414,Private room,148.0,4,1.0,1.0,f,3,100.0,2,37.0,Central
415,Private room,74.0,2,1.0,1.0,f,41,97.0,2,37.0,North
416,Entire home/apt,14.0,16,1.0,1.0,t,14,94.0,2,0.875,South
417,Entire home/apt,199.0,6,2.5,3.0,t,87,98.0,29,33.166666666666664,East
418,Entire home/apt,180.0,4,1.5,3.0,t,20,98.0,3,45.0,East
419,Entire home/apt,150.0,5,1.0,2.0,t,30,97.0,4,30.0,East
